           #N           Min           Max          M        Min        Max     Total       Min       Max       KNN       Min       Max    Fuzzy      Min      Max    Embed      Min       Max      JIT      Min      Max
291666.666667  50000.000000 500000.000000 300.000000 300.000000 300.000000 15.573850  7.213000 26.955000  7.671433  1.261000 16.274000 2.072633 0.900000 3.339000 5.161383 3.285000  6.903000 4.146500 3.983000 4.348000
100000.000000 100000.000000 100000.000000 300.000000 300.000000 300.000000 13.131000 12.514000 13.582000  1.823800  1.663000  1.916000 1.119800 1.071000 1.184000 9.560600 9.104000 10.083000 4.124000 4.030000 4.195000
150000.000000 150000.000000 150000.000000 300.000000 300.000000 300.000000  7.842000  7.742000  8.181000  2.472600  2.314000  2.558000 1.308500 1.246000 1.481000 3.419500 3.285000  3.523000 4.196400 4.028000 4.348000
200000.000000 200000.000000 200000.000000 300.000000 300.000000 300.000000  9.435000  9.256000  9.611000  3.429700  3.275000  3.537000 1.479300 1.439000 1.519000 3.888500 3.815000  3.970000 4.174000 4.098000 4.268000
250000.000000 250000.000000 250000.000000 300.000000 300.000000 300.000000 11.372600 11.127000 11.601000  4.698800  4.612000  4.798000 1.688300 1.626000 1.785000 4.346300 4.214000  4.457000 4.111400 3.993000 4.216000
300000.000000 300000.000000 300000.000000 300.000000 300.000000 300.000000 14.061200 13.830000 14.287000  6.542400  6.369000  6.666000 2.045300 1.959000 2.152000 4.813200 4.669000  4.908000 4.160900 4.044000 4.252000
350000.000000 350000.000000 350000.000000 300.000000 300.000000 300.000000 16.952000 16.814000 17.117000  8.464500  8.299000  8.598000 2.354900 2.211000 2.535000 5.448900 5.377000  5.607000 4.169800 4.060000 4.304000
400000.000000 400000.000000 400000.000000 300.000000 300.000000 300.000000 19.911000 19.614000 20.141000 10.670300 10.429000 10.841000 2.640900 2.544000 2.783000 5.917300 5.826000  6.072000 4.147500 4.072000 4.199000
450000.000000 450000.000000 450000.000000 300.000000 300.000000 300.000000 23.197800 22.981000 23.476000 13.168500 12.988000 13.460000 2.919300 2.855000 2.959000 6.412500 6.308000  6.529000 4.151300 4.049000 4.198000
500000.000000 500000.000000 500000.000000 300.000000 300.000000 300.000000 26.650700 26.287000 26.955000 15.851400 15.446000 16.274000 3.205800 3.072000 3.339000 6.845500 6.767000  6.903000 4.163900 4.043000 4.228000
#from ../../../profs/gpumap/10_times/google_news
