#from../../../profs/gpumap/different_dimensions/cifar
   #N    M Total   KNN Fuzzy  Embed   JIT Optimize
10000  768 0.000 3.416 0.721  5.822 0.000    0.664
10000 1536 0.000 3.358 0.711  6.019 0.000    0.683
10000 2304 0.000 3.331 0.693  6.001 0.000    0.676
10000 3072 0.000 3.254 0.707  5.906 0.000    0.695
20000  768 0.000 2.814 0.436  5.842 0.000    0.735
20000 1536 0.000 2.846 0.457  5.721 0.000    0.711
20000 2304 0.000 2.666 0.419  5.615 0.000    0.693
20000 3072 0.000 2.632 0.419  5.727 0.000    0.750
30000  768 0.000 2.707 0.413  5.876 0.000    0.700
30000 1536 0.000 2.795 0.434  6.246 0.000    0.713
30000 2304 0.000 2.969 0.480  6.796 0.000    0.739
30000 3072 0.000 2.782 0.425  6.760 0.000    0.740
40000  768 0.000 2.685 0.420  6.427 0.000    0.700
40000 1536 0.000 2.648 0.417  6.707 0.000    0.691
40000 2304 0.000 2.706 0.419  7.107 0.000    0.675
40000 3072 0.000 2.653 0.427  7.388 0.000    0.708
50000  768 0.000 2.702 0.415  7.375 0.000    0.689
50000 1536 0.000 2.805 0.440  7.802 0.000    0.701
50000 2304 0.000 2.698 0.420  8.266 0.000    0.684
50000 3072 0.000 2.600 0.421  8.466 0.000    0.695
60000  768 0.000 2.840 0.422  9.219 0.000    0.785
60000 1536 0.000 2.751 0.442  8.773 0.000    0.727
60000 2304 0.000 2.704 0.421  9.270 0.000    0.679
60000 3072 0.000 2.650 0.426 10.112 0.000    0.705
