#from../../../profs/gpumap/different_dimensions/mnist
   #N   M Total   KNN Fuzzy  Embed   JIT Optimize
10000 196 0.000 3.293 0.694  5.799 0.000    0.682
10000 392 0.000 3.320 0.690  5.727 0.000    0.678
10000 588 0.000 3.272 0.680  5.733 0.000    0.691
10000 784 0.000 3.139 0.680  5.764 0.000    0.687
20000 196 0.000 2.676 0.423  5.542 0.000    0.742
20000 392 0.000 2.707 0.429  5.355 0.000    0.701
20000 588 0.000 2.745 0.427  5.487 0.000    0.695
20000 784 0.000 2.586 0.432  5.499 0.000    0.713
30000 196 0.000 2.728 0.419  6.168 0.000    0.725
30000 392 0.000 2.833 0.448  5.856 0.000    0.699
30000 588 0.000 2.835 0.430  6.408 0.000    0.801
30000 784 0.000 2.709 0.441  5.880 0.000    0.700
40000 196 0.000 2.749 0.429  6.950 0.000    0.704
40000 392 0.000 2.720 0.435  6.334 0.000    0.717
40000 588 0.000 2.761 0.436  6.404 0.000    0.681
40000 784 0.000 2.582 0.425  6.210 0.000    0.713
50000 196 0.000 2.752 0.430  8.163 0.000    0.702
50000 392 0.000 2.768 0.433  6.976 0.000    0.698
50000 588 0.000 2.850 0.448  7.327 0.000    0.713
50000 784 0.000 2.738 0.454  7.222 0.000    0.719
60000 196 0.000 2.821 0.449  9.570 0.000    0.727
60000 392 0.000 2.788 0.435  7.861 0.000    0.706
60000 588 0.000 2.837 0.441  8.025 0.000    0.718
60000 784 0.000 2.673 0.434  7.941 0.000    0.713
70000 196 0.000 2.788 0.431 11.084 0.000    0.753
70000 392 0.000 2.829 0.453  8.988 0.000    0.749
70000 588 0.000 2.846 0.461  8.864 0.000    0.702
70000 784 0.000 2.643 0.424  8.919 0.000    0.695
