  #from../../../profs/gpumap/google_news/profs
     #N   M   Total     KNN  Fuzzy  Embed   JIT Spectral
 100000 300  13.257   1.865  1.123  9.626 4.120    6.637
 200000 300   9.650   3.561  1.508  3.958 4.331
 300000 300  14.296   6.448  2.181  5.082 4.258
 400000 300  20.032  10.768  2.617  6.009 4.117
 500000 300  26.933  16.309  3.120  6.799 4.125
 600000 300  34.766  22.363  3.864  7.842 4.031
 700000 300  43.643  29.534  4.360  8.971 4.041
 800000 300  53.978  37.772  5.285 10.081 4.137
 900000 300  65.303  47.948  5.641 11.015 4.064
1000000 300  76.801  57.835  6.113 12.053 4.201
1100000 300  89.862  69.483  6.715 12.886 4.089
1200000 300 104.501  82.704  7.284 13.800 4.103
1300000 300 120.965  96.893  8.029 15.238 4.364
1400000 300 138.094 112.599  8.602 16.032 4.216
1500000 300 155.653 128.362  9.535 16.946 4.183
1600000 300 174.398 145.373 10.285 17.925 4.151
1700000 300 193.892 163.877 10.140 19.094 4.155
1800000 300 215.158 182.877 11.492 19.970 4.168
1900000 300 236.966 203.783 11.433 20.925 4.114
2000000 300 261.337 225.706 12.973 21.876 4.086
2100000 300 284.570 247.880 12.974 22.885 4.318
2200000 300 311.830 274.276 13.024 23.699 4.090
2300000 300 335.692 296.619 13.821 24.393 4.071
2400000 300 363.530 322.584 14.465 25.596 4.144
2500000 300 394.899 350.849 16.092 27.090 4.129
2600000 300 425.216 379.576 16.725 28.007 4.080
2700000 300 454.076 407.898 16.317 28.864 4.155
2800000 300 484.248 436.610 17.087 29.661 4.050
2900000 300 520.895 470.868 18.049 30.898 4.210
3000000 300 557.157 504.783 18.270 33.086 4.094
