  #Dataset       N     M   Total     KNN  Fuzzy  Embed   JIT
      Iris     150     4   5.602   0.001  1.505  3.455 4.100
   COIL-20    1440 16384   6.244   0.136  1.717  3.770 4.194
    Digits    1797    64   5.846   0.243  1.606  3.559 4.053
       LFW   13233  2914   5.909   1.235  0.858  3.130 4.075
  COIL-100    7200 49152  10.402   2.568  0.775  5.620 4.089
     MNIST   70000   784   9.523   1.932  1.001  5.876 4.152
   F-MNIST   70000   784   9.733   1.904  1.070  5.979 4.241
     CIFAR   60000  3072  10.589   3.103  1.011  5.384 4.221
GoogleNews  200000   300   9.522   3.384  1.541  3.986 4.214
GoogleNews  500000   300  26.573  15.755  3.167  6.951 4.120
GoogleNews 3000000   300 554.996 502.495 18.320 33.160 4.202
