           #N           Min           Max          M        Min        Max       Total         Min         Max        KNN        Min        Max      Fuzzy        Min        Max      Embed        Min        Max       JIT       Min       Max
291666.666667  50000.000000 500000.000000 300.000000 300.000000 300.000000  879.232883  127.230000 1617.368000 229.237300  27.562000 445.009000 143.992800  29.216000 250.730000 498.214150  68.268000 915.669000 13.115683 12.111000 14.186000
100000.000000 100000.000000 100000.000000 300.000000 300.000000 300.000000  266.180000  262.691000  272.225000  61.017700  59.331000  63.864000  53.057100  51.720000  54.499000 149.191200 147.234000 154.127000 12.637900 12.412000 13.029000
150000.000000 150000.000000 150000.000000 300.000000 300.000000 300.000000  409.491800  403.496000  412.535000  96.770300  94.074000  99.589000  76.801700  75.016000  79.643000 231.781600 229.879000 234.573000 12.574900 12.371000 12.849000
200000.000000 200000.000000 200000.000000 300.000000 300.000000 300.000000  557.774400  553.446000  562.558000 134.902000 131.548000 137.435000 100.621400  98.188000 103.380000 316.882600 314.682000 321.132000 12.479800 12.376000 12.648000
250000.000000 250000.000000 250000.000000 300.000000 300.000000 300.000000  710.514500  705.385000  717.559000 173.785200 170.610000 179.648000 125.009500 122.715000 126.781000 404.893100 402.056000 413.440000 12.292500 12.111000 12.417000
300000.000000 300000.000000 300000.000000 300.000000 300.000000 300.000000  878.757700  863.043000  893.087000 224.561200 214.781000 230.926000 147.381400 141.894000 152.378000 498.678700 492.517000 506.041000 12.398500 12.230000 12.589000
350000.000000 350000.000000 350000.000000 300.000000 300.000000 300.000000 1039.366500 1030.156000 1049.952000 265.447400 260.629000 269.975000 173.669100 169.592000 179.126000 591.162600 586.201000 594.985000 12.502200 12.283000 12.762000
400000.000000 400000.000000 400000.000000 300.000000 300.000000 300.000000 1231.905400 1204.909000 1287.677000 328.636300 312.928000 339.975000 195.599800 188.880000 207.326000 697.130300 681.579000 745.570000 12.650200 12.374000 12.791000
450000.000000 450000.000000 450000.000000 300.000000 300.000000 300.000000 1398.497600 1377.832000 1430.021000 377.030800 365.282000 400.494000 217.277200 213.717000 219.922000 792.444500 782.279000 803.786000 13.683000 13.530000 13.895000
500000.000000 500000.000000 500000.000000 300.000000 300.000000 300.000000 1587.643800 1565.616000 1617.368000 433.488600 421.027000 445.009000 241.585600 236.559000 250.730000 899.475100 875.752000 915.669000 13.772300 13.622000 14.043000
#from ../../../profs/umap/10_times/google_news
