           #N         Error          M    Error       Total      Error        KNN      Error      Fuzzy     Error      Embed      Error       JIT    Error
291666.666667 160551.661960 300.000000 0.000000  879.232883 522.111537 229.237300 146.013234 143.992800 75.659828 498.214150 296.840428 13.115683 0.684612
100000.000000      0.000000 300.000000 0.000000  266.180000   2.897776  61.017700   1.378996  53.057100  0.931271 149.191200   2.167582 12.637900 0.169782
150000.000000      0.000000 300.000000 0.000000  409.491800   2.961698  96.770300   2.290176  76.801700  1.557106 231.781600   1.638112 12.574900 0.120997
200000.000000      0.000000 300.000000 0.000000  557.774400   2.929022 134.902000   2.068836 100.621400  1.915264 316.882600   1.810811 12.479800 0.077459
250000.000000      0.000000 300.000000 0.000000  710.514500   3.753745 173.785200   2.510657 125.009500  1.416659 404.893100   3.306150 12.292500 0.102662
300000.000000      0.000000 300.000000 0.000000  878.757700  10.730043 224.561200   5.306079 147.381400  3.604014 498.678700   4.517132 12.398500 0.099169
350000.000000      0.000000 300.000000 0.000000 1039.366500   6.723539 265.447400   2.964640 173.669100  3.995054 591.162600   2.635054 12.502200 0.137575
400000.000000      0.000000 300.000000 0.000000 1231.905400  23.478105 328.636300   8.691186 195.599800  6.717951 697.130300  17.955038 12.650200 0.146961
450000.000000      0.000000 300.000000 0.000000 1398.497600  14.713940 377.030800  10.580907 217.277200  1.949423 792.444500   7.063710 13.683000 0.114157
500000.000000      0.000000 300.000000 0.000000 1587.643800  18.637976 433.488600   6.507882 241.585600  4.591509 899.475100  11.642438 13.772300 0.132920
#from ../../../profs/umap/10_times/google_news
