#from../../../profs/umap/different_dimensions/cifar
   #N    M   Total    KNN  Fuzzy  Embed    JIT
10000  768  54.590  7.589 11.238 34.849 14.045
10000 1536  57.227  9.760 11.183 35.298 14.011
10000 2304  59.111 11.610 10.776 35.708 13.933
10000 3072  61.108 13.705 10.820 35.490 14.043
20000  768  57.660 12.843 15.323 28.335 12.561
20000 1536  63.450 17.160 16.479 28.646 12.908
20000 2304  67.138 21.636 15.714 28.460 12.916
20000 3072  72.178 25.976 15.477 29.220 12.701
30000  768  84.237 20.405 19.958 42.475 12.713
30000 1536  89.884 25.659 20.233 42.247 12.958
30000 2304  97.501 32.261 20.569 42.830 12.749
30000 3072 105.188 40.544 20.376 42.211 12.823
40000  768 108.115 25.376 24.841 56.327 12.783
40000 1536 118.893 34.310 26.237 56.477 12.754
40000 2304 126.742 43.877 25.073 55.592 12.752
40000 3072 136.707 52.371 25.613 56.218 12.875
50000  768 139.629 31.900 29.627 76.189 12.820
50000 1536 145.546 42.700 30.148 70.445 12.783
50000 2304 161.817 58.511 29.742 70.778 12.971
50000 3072 171.705 68.797 29.533 70.238 12.852
60000  768 163.409 42.424 36.498 82.236 12.873
60000 1536 176.627 52.992 35.157 85.680 12.805
60000 2304 195.933 72.763 37.529 82.484 12.783
60000 3072 206.412 87.528 35.236 80.119 12.227
