#from../../../profs/umap/different_dimensions/mnist
   #N   M   Total    KNN  Fuzzy  Embed    JIT
10000 196  46.390  4.285 10.886 30.530 14.060
10000 392  46.701  5.013 10.969 30.046 14.081
10000 588  44.866  5.145 10.556 28.473 13.493
10000 784  48.106  6.010 11.142 30.166 14.083
20000 196  48.394  6.564 16.541 24.173 12.743
20000 392  48.754  7.933 15.766 24.019 12.683
20000 588  49.261  8.802 15.256 24.137 12.451
20000 784  50.848 10.172 15.354 24.183 12.614
30000 196  67.878  8.999 20.672 37.157 13.031
30000 392  69.157 11.242 20.029 36.785 12.866
30000 588  68.083 11.799 19.929 35.150 12.341
30000 784  72.705 13.967 20.986 36.547 13.010
40000 196  85.443 11.098 25.060 47.826 12.767
40000 392  85.820 13.417 24.643 46.281 12.522
40000 588  89.541 15.803 26.200 45.920 12.520
40000 784  92.980 18.477 24.721 48.120 12.639
50000 196 107.351 13.334 30.447 62.074 12.654
50000 392 108.987 17.286 29.695 60.289 12.691
50000 588 111.479 20.379 29.241 60.154 12.836
50000 784 114.068 22.626 29.844 59.722 12.753
60000 196 126.079 16.460 36.410 71.339 12.485
60000 392 126.119 20.887 33.547 69.560 12.310
60000 588 132.298 24.992 34.932 70.309 12.544
60000 784 132.031 27.868 33.750 68.251 12.440
70000 196 150.711 19.099 41.523 88.054 12.795
70000 392 144.929 24.674 38.402 79.805 12.554
70000 588 149.097 26.996 39.265 80.611 12.483
70000 784 156.091 32.940 38.207 82.647 12.560
