 #from../../../profs/umap/google_news/profs
    #N   M    Total     KNN   Fuzzy   Embed    JIT Spectral
 50000 300  127.262  27.856  29.319  68.338 13.796    1.716
100000 300  264.015  59.807  53.050 148.217 13.640    6.664
150000 300  412.711  95.664  76.465 236.227 13.682   14.915
200000 300  558.442 137.765  98.271 316.894 14.077   28.328
250000 300  723.582 184.827 123.350 408.772 13.862   41.407
300000 300  881.414 224.793 145.805 502.949 13.569   58.045
350000 300 1057.570 272.761 173.745 602.073 14.141   77.669
400000 300 1220.802 325.557 192.055 692.597 13.833  103.395
450000 300 1404.160 382.807 214.408 795.096 13.743  132.776
500000 300 1557.923 409.908 242.930 892.180 13.524  165.245
