  #Dataset       N     M   Total     KNN  Fuzzy  Embed    JIT
      Iris     150     4   9.278   0.001  6.291  2.605 11.005
   COIL-20    1440 16384  14.008   0.133  7.085  5.875 11.378
    Digits    1797    64  15.024   0.183  7.286  7.287 11.094
       LFW   13233  2914  51.204  18.028 12.594 19.469 14.529
  COIL-100    7200 49152  89.448  52.774  9.494 22.900 14.624
     MNIST   70000   784 166.144  34.294 39.337 89.786 14.114
   F-MNIST   70000   784 171.299  36.672 39.337 92.743 14.488
     CIFAR   60000  3072 212.525  86.419 34.418 87.851 14.343
GoogleNews  200000   300 243.355 144.755 98.109 10.969
GoogleNews  500000   300   9.873   9.743  2.979
GoogleNews 3000000   300
